variable,description
trct_pct_nhaian_2013,% of tract's population that is non-Hispanic American Indian or Alaska Native in 2013
trct_pct_nhaian_2014,% of tract's population that is non-Hispanic American Indian or Alaska Native in 2014
trct_pct_nhaian_2015,% of tract's population that is non-Hispanic American Indian or Alaska Native in 2015
trct_pct_nhaian_2016,% of tract's population that is non-Hispanic American Indian or Alaska Native in 2016
trct_pct_nhaian_2017,% of tract's population that is non-Hispanic American Indian or Alaska Native in 2017
trct_pct_nhaian_2018,% of tract's population that is non-Hispanic American Indian or Alaska Native in 2018
trct_pct_nhaian_2019,% of tract's population that is non-Hispanic American Indian or Alaska Native in 2019
trct_pct_nhaian_2020,% of tract's population that is non-Hispanic American Indian or Alaska Native in 2020
trct_pct_nhaian_2021,% of tract's population that is non-Hispanic American Indian or Alaska Native in 2021
trct_pct_nhasian_2000,% of tract's population that is non-Hispanic Asian in 2000
trct_pct_nhasian_2010,% of tract's population that is non-Hispanic Asian in 2010
trct_pct_nhasian_2013,% of tract's population that is non-Hispanic Asian in 2013
trct_pct_nhasian_2014,% of tract's population that is non-Hispanic Asian in 2014
trct_pct_nhasian_2015,% of tract's population that is non-Hispanic Asian in 2015
trct_pct_nhasian_2016,% of tract's population that is non-Hispanic Asian in 2016
trct_pct_nhasian_2017,% of tract's population that is non-Hispanic Asian in 2017
trct_pct_nhasian_2018,% of tract's population that is non-Hispanic Asian in 2018
trct_pct_nhasian_2019,% of tract's population that is non-Hispanic Asian in 2019
trct_pct_nhasian_2020,% of tract's population that is non-Hispanic Asian in 2020
trct_pct_nhasian_2021,% of tract's population that is non-Hispanic Asian in 2021
trct_pct_nhpac_2000,% of tract's population that is non-Hispanic Native Hawaiian and Other Pacific Islander in 2000
trct_pct_nhpac_2010,% of tract's population that is non-Hispanic Native Hawaiian and Other Pacific Islander in 2010
trct_pct_nhpac_2013,% of tract's population that is non-Hispanic Native Hawaiian and Other Pacific Islander in 2013
trct_pct_nhpac_2014,% of tract's population that is non-Hispanic Native Hawaiian and Other Pacific Islander in 2014
trct_pct_nhpac_2015,% of tract's population that is non-Hispanic Native Hawaiian and Other Pacific Islander in 2015
trct_pct_nhpac_2016,% of tract's population that is non-Hispanic Native Hawaiian and Other Pacific Islander in 2016
trct_pct_nhpac_2017,% of tract's population that is non-Hispanic Native Hawaiian and Other Pacific Islander in 2017
trct_pct_nhpac_2018,% of tract's population that is non-Hispanic Native Hawaiian and Other Pacific Islander in 2018
trct_pct_nhpac_2019,% of tract's population that is non-Hispanic Native Hawaiian and Other Pacific Islander in 2019
trct_pct_nhpac_2020,% of tract's population that is non-Hispanic Native Hawaiian and Other Pacific Islander in 2020
trct_pct_nhpac_2021,% of tract's population that is non-Hispanic Native Hawaiian and Other Pacific Islander in 2021
trct_pct_nhother_2000,% of tract's population that is non-Hispanic Other/Two or More Races in 2000
trct_pct_nhother_2010,% of tract's population that is non-Hispanic Other/Two or More Races in 2010
trct_pct_nhother_2013,% of tract's population that is non-Hispanic Other/Two or More Races in 2013
trct_pct_nhother_2014,% of tract's population that is non-Hispanic Other/Two or More Races in 2014
trct_pct_nhother_2015,% of tract's population that is non-Hispanic Other/Two or More Races in 2015
trct_pct_nhother_2016,% of tract's population that is non-Hispanic Other/Two or More Races in 2016
trct_pct_nhother_2017,% of tract's population that is non-Hispanic Other/Two or More Races in 2017
trct_pct_nhother_2018,% of tract's population that is non-Hispanic Other/Two or More Races in 2018
trct_pct_nhother_2019,% of tract's population that is non-Hispanic Other/Two or More Races in 2019
trct_pct_nhother_2020,% of tract's population that is non-Hispanic Other/Two or More Races in 2020
trct_pct_nhother_2021,% of tract's population that is non-Hispanic Other/Two or More Races in 2021
trct_pct_latino_2000,% of tract's population that is Hispanic or Latino in 2000
trct_pct_latino_2010,% of tract's population that is Hispanic or Latino in 2010
trct_pct_latino_2013,% of tract's population that is Hispanic or Latino in 2013
trct_pct_latino_2014,% of tract's population that is Hispanic or Latino in 2014
trct_pct_latino_2015,% of tract's population that is Hispanic or Latino in 2015
trct_pct_latino_2016,% of tract's population that is Hispanic or Latino in 2016
trct_pct_latino_2017,% of tract's population that is Hispanic or Latino in 2017
trct_pct_latino_2018,% of tract's population that is Hispanic or Latino in 2018
trct_pct_latino_2019,% of tract's population that is Hispanic or Latino in 2019
trct_pct_latino_2020,% of tract's population that is Hispanic or Latino in 2020
trct_pct_latino_2021,% of tract's population that is Hispanic or Latino in 2021
trct_pop_total_2000,Tract's total population in 2000
trct_pop_nhwhite_2000,Tract's total non-Hispanic white population in 2000
trct_pop_nhblack_2000,Tract's total non-Hispanic Black population in 2000
trct_pop_nhaian_2000,Tract's total non-Hispanic American Indian or Alaska Native population in 2000
trct_pop_nhasian_2000,Tract's total non-Hispanic Asian population in 2000
trct_pop_nhpac_2000,Tract's total non-Hispanic Native Hawaiian and Other Pacific Islander population in 2000
trct_pop_nhother_2000,Tract's total non-Hispanic Other/Two or More Races population in 2000
trct_pop_latino_2000,Tract's total Hispanic or Latino population in 2000
trct_pop_total_2013,Tract's total population in 2013
trct_pop_nhwhite_2013,Tract's total non-Hispanic white population in 2013
trct_pop_nhblack_2013,Tract's total non-Hispanic Black population in 2013
trct_pop_nhaian_2013,Tract's total non-Hispanic American Indian or Alaska Native population in 2013
trct_pop_nhasian_2013,Tract's total non-Hispanic Asian population in 2013
trct_pop_nhpac_2013,Tract's total non-Hispanic Native Hawaiian and Other Pacific Islander population in 2013
trct_pop_nhother_2013,Tract's total non-Hispanic Other/Two or More Races population in 2013
trct_pop_latino_2013,Tract's total Hispanic or Latino population in 2013
trct_pop_nhwhite_2021,Tract's total non-Hispanic white population in 2021
trct_pop_nhblack_2021,Tract's total non-Hispanic Black population in 2021
trct_pop_nhaian_2021,Tract's total non-Hispanic American Indian or Alaska Native population in 2021
trct_pop_nhasian_2021,Tract's total non-Hispanic Asian population in 2021
trct_pop_nhpac_2021,Tract's total non-Hispanic Native Hawaiian and Other Pacific Islander population in 2021
trct_pop_nhother_2021,Tract's total non-Hispanic Other/Two or More Races population in 2021
trct_pop_latino_2021,Tract's total Hispanic or Latino population in 2021
trct_lowinc_2000,Tract's # of low-income households in 2000
trct_lowinc_2013,Tract's # of low-income households in 2013
trct_lowinc_2021,Tract's # of low-income households in 2021
trct_mod_2000,Tract's # of moderate-income households in 2000
trct_mod_2013,Tract's # of moderate-income households in 2013
trct_mod_2021,Tract's # of moderate-income households in 2021
trct_totalhh_2000,Tract's total # of households in 2000
trct_totalhh_2013,Tract's total # of households in 2013
